taxon,level,novelty_factor,color_category,lineage
Desulfofarcimen,genus,249.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum] > Clostridia[class] > Eubacteriales[order] > Peptococcaceae[family] > Desulfofarcimen[genus]
Pajaroellobacter,genus,195.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Myxococcota[phylum] > Polyangia[subclass] > Polyangiales[order] > Polyangiaceae[family] > Pajaroellobacter[genus]
Haliangium,genus,187.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Myxococcota[phylum] > Polyangia[subclass] > Haliangiales[order] > Kofleriaceae[family] > Haliangium[genus]
Thermoanaerobaculaceae,family,177.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum] > Thermoanaerobaculia[class] > Thermoanaerobaculales[order] > Thermoanaerobaculaceae[family]
Thioalkalispiraceae,family,156.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Pseudomonadota[phylum] > Gammaproteobacteria[class] > Chromatiales[order] > Thioalkalispiraceae[family]
Blastocatellaceae,family,143.333,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum] > Blastocatellia[class] > Blastocatellales[order] > Blastocatellaceae[family]
Aquicella,genus,130.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Pseudomonadota[phylum] > Gammaproteobacteria[class] > Legionellales[order] > Coxiellaceae[family] > Aquicella[genus]
Bryobacter,genus,130.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum] > Terriglobia[class] > Bryobacterales[order] > Bryobacteraceae[family] > Bryobacter[genus]
Kofleriaceae,family,124.833,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Myxococcota[phylum] > Polyangia[subclass] > Haliangiales[order] > Kofleriaceae[family]
Desulfatiglans,genus,123.667,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Thermodesulfobacteriota[phylum] > Desulfobacteria[class] > Desulfatiglandales[order] > Desulfatiglandaceae[family] > Desulfatiglans[genus]
Nanoarchaeota,phylum,117.704,dark_blue,cellular organisms[cellular root] > Archaea[domain] > Nanobdellati[kingdom] > Nanobdellota[phylum]
Monoglobus,genus,115.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum] > Clostridia[class] > Monoglobales[order] > Monoglobaceae[family] > Monoglobus[genus]
Pyrinomonadaceae,family,109.833,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum] > Blastocatellia[class] > Blastocatellales[order] > Pyrinomonadaceae[family]
Pirellula,genus,104.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Planctomycetota[phylum] > Planctomycetia[class] > Pirellulales[order] > Pirellulaceae[family] > Pirellula[genus]
Microscillaceae,family,102.833,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Bacteroidota[phylum] > Cytophagia[class] > Cytophagales[order] > Microscillaceae[family]
Longimicrobiaceae,family,100.333,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Gemmatimonadota[phylum] > Longimicrobiia[class] > Longimicrobiales[order] > Longimicrobiaceae[family]
Chthoniobacteraceae,family,98.875,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Verrucomicrobiota[phylum] > Spartobacteria[class] > Chthoniobacterales[order] > Chthoniobacteraceae[family]
Salinibacter,genus,92.429,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Rhodothermota[phylum] > Rhodothermia[class] > Rhodothermales[order] > Salinibacteraceae[family] > Salinibacter[genus]
Vicinamibacteraceae,family,91.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Acidobacteriota[phylum] > Vicinamibacteria[class] > Vicinamibacterales[order] > Vicinamibacteraceae[family]
Blastopirellula,genus,89.857,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Planctomycetota[phylum] > Planctomycetia[class] > Pirellulales[order] > Pirellulaceae[family] > Blastopirellula[genus]
Abditibacterium,genus,85.667,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Abditibacteriota[phylum] > Abditibacteriia[class] > Abditibacteriales[order] > Abditibacteriaceae[family] > Abditibacterium[genus]
Peredibacter,genus,85.667,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Bdellovibrionota[phylum] > Bacteriovoracia[class] > Bacteriovoracales[order] > Bacteriovoracaceae[family] > Peredibacter[genus]
Acidibacter,genus,83.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Pseudomonadota[phylum] > Gammaproteobacteria[class] > Gammaproteobacteria incertae sedis[no rank] > Acidibacter[genus]
Woeseia,genus,82.667,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Pseudomonadota[phylum] > Gammaproteobacteria[class] > Woeseiales[order] > Woeseiaceae[family] > Woeseia[genus]
Chthoniobacter,genus,82.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Verrucomicrobiota[phylum] > Spartobacteria[class] > Chthoniobacterales[order] > Chthoniobacteraceae[family] > Chthoniobacter[genus]
Colidextribacter,genus,79.0,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum] > Clostridia[class] > Eubacteriales[order] > Eubacteriales incertae sedis[no rank] > Colidextribacter[genus]
Agathobacter,genus,76.75,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum] > Clostridia[class] > Lachnospirales[order] > Lachnospiraceae[family] > Agathobacter[genus]
Acidothermus,genus,76.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Actinomycetota[phylum] > Actinomycetes[class] > Acidothermales[order] > Acidothermaceae[family] > Acidothermus[genus]
Faecalibaculum,genus,75.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Bacillota[phylum] > Erysipelotrichia[class] > Erysipelotrichales[order] > Erysipelotrichaceae[family] > Faecalibaculum[genus]
Oligoflexaceae,family,74.75,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Bdellovibrionota[phylum] > Oligoflexia[class] > Oligoflexales[order] > Oligoflexaceae[family]
Williamwhitmaniaceae,family,74.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Bacteroidota[phylum] > Bacteroidia[class] > Bacteroidales[order] > Williamwhitmaniaceae[family]
Rhodothermaceae,family,73.417,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Rhodothermota[phylum] > Rhodothermia[class] > Rhodothermales[order] > Rhodothermaceae[family]
Gemmatimonadaceae,family,67.909,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Gemmatimonadota[phylum] > Gemmatimonadia[class] > Gemmatimonadales[order] > Gemmatimonadaceae[family]
Longilinea,genus,67.333,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Bacillati[kingdom] > Chloroflexota[phylum] > Anaerolineae[class] > Anaerolineales[order] > Anaerolineaceae[family] > Longilinea[genus]
Lentimicrobiaceae,family,66.857,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > FCB group[clade] > Bacteroidota/Chlorobiota group[clade] > Bacteroidota[phylum] > Bacteroidia[class] > Bacteroidales[order] > Lentimicrobiaceae[family]
Calditrichaceae,family,66.5,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > Calditrichota[phylum] > Calditrichia[class] > Calditrichales[order] > Calditrichaceae[family]
Phycisphaeraceae,family,66.211,dark_blue,cellular organisms[cellular root] > Bacteria[domain] > Pseudomonadati[kingdom] > PVC group[clade] > Planctomycetota[phylum] > Phycisphaerae[class] > Phycisphaerales[order] > Phycisphaeraceae[family]
